,tweet,tweetP,Category
0,@pussyslayer314 All they know is play candy crush and be racist on facebook,All they know is play candy crush and be racist on facebook,neutral
1,candy♡ https://t.co/cYVTUEdYWd,candy,neutral
2,I'm cool with people dressing up as Eleven for Halloween. I definitely want to open my door and give them candy.TEJRAN SLAYING TOGETHER,I m cool with people dressing up as Eleven for Halloween I definitely want to open my door and give them candy TEJRAN SLAYING TOGETHER,positive
3,"🎄It's beginning to look a lot like Christmas ❄️Everywhere you go⏳Take a look at the five and ten, it's glistening once again🍭With candy canes and silver lanes that glow #bombcrypto #BCOIN #BSC #GameFi #NFTGame https://t.co/LpzdghaZIk",It s beginning to look a lot like Christmas Everywhere you go Take a look at the five and ten it s glistening once again With candy canes and silver lanes that glow bombcrypto BCOIN BSC GameFi NFTGame,neutral
4,Our lovely jubbly and his baby star candy vibing and dancing cutely 🥺https://t.co/y0gMdMZDQq,Our lovely jubbly and his baby star candy vibing and dancing cutely,positive
5,Our lovely jubbly and his baby star candy vibing and dancing cutely 🥺https://t.co/y0gMdMZDQq,Our lovely jubbly and his baby star candy vibing and dancing cutely,positive
6,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
7,Another Candy Cane #TextileDesign https://t.co/VMkJStOGG6,Another Candy Cane TextileDesign,neutral
8,@MaherEbsi @maalbarakati The Cambridge Dictionary of American Idioms says “like taking candy from a baby” means “extremely easy.”,The Cambridge Dictionary of American Idioms says like taking candy from a baby means extremely easy,positive
9,Sushi said Lucario x Cotton Candy is bad!,Sushi said Lucario x Cotton Candy is bad,negative
10,I'm cool with people dressing up as Eleven for Halloween. I definitely want to open my door and give them candy.TEJRAN SLAYING TOGETHER,I m cool with people dressing up as Eleven for Halloween I definitely want to open my door and give them candy TEJRAN SLAYING TOGETHER,positive
11,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
12,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
13,141207 Candy Jelly Love 💙▶️ https://t.co/lHhvZA8Dvb#LOVELYZ #러블리즈 #BABYSOUL #베이비소울 #LEESUJEONG #이수정 @Official_LVLZ @LEESUJEONG https://t.co/CjnI7QjWGP,141207 Candy Jelly Love BABYSOUL LEESUJEONG LVLZ,positive
14,🔥 $100K $MMR Sweet Candy Airdrop launched🍭👇$10 $MMR ✅ Follow &amp; reweet✅ Follow telegram group &amp; channel✅ Referral: $3 $MMR Distribution after 1 week end🎉Start here: https://t.co/pavK89lPJuTutorial check: https://t.co/zaIIOgo0yw #airdrop #Giveaways #MMRS,100K MMR Sweet Candy Airdrop launched 10 MMR Follow amp reweet Follow telegram group amp channel Referral 3 MMR Distribution after 1 week end Start here check airdrop Giveaways MMRS,positive
15,NO ONE ALLOWED TO TOUCH MY CANDY D:,NO ONE ALLOWED TO TOUCH MY CANDY D,neutral
16,"if neither cities if lab, those cloud as sake, whether against whence, tarn, proper movies, industrial foreheads, himself it's children? Of before every prose indians below free-born carts, though for drench, o along behold candy.",if neither cities if lab those cloud as sake whether against whence tarn proper movies industrial foreheads himself it s children Of before every prose indians below free born carts though for drench o along behold candy,positive
17,Cerulean Candy Canes skins for @froubery @theawesamdude @vGumiho and @Ryguyrocky!!HBomb sweater 🙌#ceruleancandycanes #mccfanart #MCCSkins #awesamdudefanart #fruitberriesfanart #gumihofanart #ryguyrockyfanart https://t.co/dbyjgZ8Est,Cerulean Candy Canes skins for and HBomb sweater ceruleancandycanes mccfanart MCCSkins awesamdudefanart fruitberriesfanart gumihofanart ryguyrockyfanart,neutral
18,I'm cool with people dressing up as Eleven for Halloween. I definitely want to open my door and give them candy.TEJRAN SLAYING TOGETHER,I m cool with people dressing up as Eleven for Halloween I definitely want to open my door and give them candy TEJRAN SLAYING TOGETHER,positive
19,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
20,@Candy_woof Smol cute friendly sleepy,woof Smol cute friendly sleepy,positive
21,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
22,SHE IS SO PRETTY https://t.co/yZ2Ckag8es,SHE IS SO PRETTY,positive
23,"""""""08.12. 11:03 Uhr: Marcy Playground """"""""Sex &amp; Candy""""""""""""""",08 12 11 03 Uhr Marcy Playground Sex amp Candy,neutral
24,Deep In It Limited edition screen printEdition of 1842 X 29.7cm5 colours on Candy Pink GF Smith paper.£45 plus postagehttps://t.co/BcadgkKCld https://t.co/cHtQmL45lb,Deep In It Limited edition screen printEdition of 1842 X 29 7cm5 colours on Candy Pink GF Smith paper 45 plus,negative
25,"@KrissyPeterssen I just buy brown paper from any shop, Checkers, PnP, stationer. I prefer the matte brown paper, as you can also get a slightly shiny one. Add a little greenery, some twine and maybe a candy cane. (Really not a great photo though) https://t.co/K9KLoFYvFZ",I just buy brown paper from any shop Checkers PnP stationer I prefer the matte brown paper as you can also get a slightly shiny one Add a little greenery some twine and maybe a candy cane Really not a great photo though,negative
26,@NaconFR @POCOFrance Candy Crush 🤞🍀,Candy Crush,neutral
27,"Story time:my baby is army confirmed.So. I woke up early today. And usually I a can feel my baby movements,but to day even after an hour of waking up I couldn't feel any movements, and I panicked. Drank some warm water..no use Ate some candy ..no use, walked,, nothing happened",Story time my baby is army confirmed So I woke up early today And usually I a can feel my baby movements but to day even after an hour of waking up I couldn t feel any movements and I panicked Drank some warm water no use Ate some candy no use walked nothing happened,positive
28,"@FeCrypto @Sik_wit_it_jive @rikoruss31 @thehill She's arm candy and damn cut down the makeup. Her eye makeup gets any heavier she's gonna need a man to let her know what she's looking towards. Come on, the smoky eye is a nice look but her eyes are ready to actually smoke. Anything to hide AGING GRACEFULLY.",wit it jive She s arm candy and damn cut down the makeup Her eye makeup gets any heavier she s gonna need a man to let her know what she s looking towards Come on the smoky eye is a nice look but her eyes are ready to actually smoke Anything to hide AGING GRACEFULLY,positive
29,I'm cool with people dressing up as Eleven for Halloween. I definitely want to open my door and give them candy.TEJRAN SLAYING TOGETHER,I m cool with people dressing up as Eleven for Halloween I definitely want to open my door and give them candy TEJRAN SLAYING TOGETHER,positive
30,"Stanhope, I was outside with the St*ja girl , and we had this long ass good talk about just I guess our insecurities etc, but before she came over I was walking went to the candy store at this house up the street. I was listening to it. I think I played it like two or 3 times.",Stanhope I was outside with the St ja girl and we had this long ass good talk about just I guess our insecurities etc but before she came over I was walking went to the candy store at this house up the street I was listening to it I think I played it like two or 3 times,positive
31,@voiceof66216729 Please send email to info@heronlaw.ca,Please send email to info ca,neutral
32,"seeing old people on social media is crazy cause back in the day they didn’t even have touchscreens, the tv had an antenna, they witnessed historical events that shaped our country to what it is today, and now they just play candy crush",seeing old people on social media is crazy cause back in the day they didn t even have touchscreens the tv had an antenna they witnessed historical events that shaped our country to what it is today and now they just play candy crush,negative
33,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
34,Blooper using the Bowser Candy. https://t.co/FprgxNpz2X,Blooper using the Bowser Candy,neutral
35,It's #NationalCottonCandyDay &amp; what better way to sweeten the day than WINNING shreds of Curveball Cotton Candy ‼️🍬RT this post🍬Tag 2 friends🍬Comment your favorite Cotton Candy GIFWinner will be announced 12/10 https://t.co/JsNHiEqJ5l,It s NationalCottonCandyDay amp what better way to sweeten the day than WINNING shreds of Curveball Cotton Candy RT this post Tag 2 friends Comment your favorite Cotton Candy GIFWinner will be announced 12 10,positive
36,I'm now really crying for the Candy reply😭Miss mewgulf so so so so badly🥺Hope to see them soon🙏🏻#MewGulf#หวานใจมิวกลัฟ https://t.co/NvWtpgas0G,I m now really crying for the Candy reply Miss mewgulf so so so so badly Hope to see them soon MewGulf,negative
37,I'm cool with people dressing up as Eleven for Halloween. I definitely want to open my door and give them candy.TEJRAN SLAYING TOGETHER,I m cool with people dressing up as Eleven for Halloween I definitely want to open my door and give them candy TEJRAN SLAYING TOGETHER,positive
38,It's #NationalCottonCandyDay &amp; what better way to sweeten the day than WINNING shreds of Curveball Cotton Candy ‼️🍬RT this post🍬Tag 2 friends🍬Comment your favorite Cotton Candy GIFWinner will be announced 12/10 https://t.co/JsNHiEqJ5l,It s NationalCottonCandyDay amp what better way to sweeten the day than WINNING shreds of Curveball Cotton Candy RT this post Tag 2 friends Comment your favorite Cotton Candy GIFWinner will be announced 12 10,positive
