,username,tweet,tweetP
0,Gilly_805,@pussyslayer314 All they know is play candy crush and be racist on facebook,All they know is play candy crush and be racist on facebook
1,llrbbh,candy♡ https://t.co/cYVTUEdYWd,candy
2,anamikash009,I'm cool with people dressing up as Eleven for Halloween. I definitely want to open my door and give them candy.TEJRAN SLAYING TOGETHER,I m cool with people dressing up as Eleven for Halloween I definitely want to open my door and give them candy TEJRAN SLAYING TOGETHER
3,greytoru,"🎄It's beginning to look a lot like Christmas ❄️Everywhere you go⏳Take a look at the five and ten, it's glistening once again🍭With candy canes and silver lanes that glow #bombcrypto #BCOIN #BSC #GameFi #NFTGame https://t.co/LpzdghaZIk",It s beginning to look a lot like Christmas Everywhere you go Take a look at the five and ten it s glistening once again With candy canes and silver lanes that glow bombcrypto BCOIN BSC GameFi NFTGame
4,taekookplus,Our lovely jubbly and his baby star candy vibing and dancing cutely 🥺https://t.co/y0gMdMZDQq,Our lovely jubbly and his baby star candy vibing and dancing cutely
5,ultsthv,Our lovely jubbly and his baby star candy vibing and dancing cutely 🥺https://t.co/y0gMdMZDQq,Our lovely jubbly and his baby star candy vibing and dancing cutely
6,vantaekoobear,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
7,VEXIKKU,Another Candy Cane #TextileDesign https://t.co/VMkJStOGG6,Another Candy Cane TextileDesign
8,AljawharahMans1,@MaherEbsi @maalbarakati The Cambridge Dictionary of American Idioms says “like taking candy from a baby” means “extremely easy.”,The Cambridge Dictionary of American Idioms says like taking candy from a baby means extremely easy
9,BotObject,Sushi said Lucario x Cotton Candy is bad!,Sushi said Lucario x Cotton Candy is bad
10,ShadakshariGow3,I'm cool with people dressing up as Eleven for Halloween. I definitely want to open my door and give them candy.TEJRAN SLAYING TOGETHER,I m cool with people dressing up as Eleven for Halloween I definitely want to open my door and give them candy TEJRAN SLAYING TOGETHER
11,vantegohg,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
12,younas_eman,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
13,dearleesujeong,141207 Candy Jelly Love 💙▶️ https://t.co/lHhvZA8Dvb#LOVELYZ #러블리즈 #BABYSOUL #베이비소울 #LEESUJEONG #이수정 @Official_LVLZ @LEESUJEONG https://t.co/CjnI7QjWGP,141207 Candy Jelly Love BABYSOUL LEESUJEONG LVLZ
14,winssscityx,🔥 $100K $MMR Sweet Candy Airdrop launched🍭👇$10 $MMR ✅ Follow &amp; reweet✅ Follow telegram group &amp; channel✅ Referral: $3 $MMR Distribution after 1 week end🎉Start here: https://t.co/pavK89lPJuTutorial check: https://t.co/zaIIOgo0yw #airdrop #Giveaways #MMRS,100K MMR Sweet Candy Airdrop launched 10 MMR Follow amp reweet Follow telegram group amp channel Referral 3 MMR Distribution after 1 week end Start here check airdrop Giveaways MMRS
15,bot_nutty,NO ONE ALLOWED TO TOUCH MY CANDY D:,NO ONE ALLOWED TO TOUCH MY CANDY D
16,botshevic,"if neither cities if lab, those cloud as sake, whether against whence, tarn, proper movies, industrial foreheads, himself it's children? Of before every prose indians below free-born carts, though for drench, o along behold candy.",if neither cities if lab those cloud as sake whether against whence tarn proper movies industrial foreheads himself it s children Of before every prose indians below free born carts though for drench o along behold candy
17,maytrixks,Cerulean Candy Canes skins for @froubery @theawesamdude @vGumiho and @Ryguyrocky!!HBomb sweater 🙌#ceruleancandycanes #mccfanart #MCCSkins #awesamdudefanart #fruitberriesfanart #gumihofanart #ryguyrockyfanart https://t.co/dbyjgZ8Est,Cerulean Candy Canes skins for and HBomb sweater ceruleancandycanes mccfanart MCCSkins awesamdudefanart fruitberriesfanart gumihofanart ryguyrockyfanart
18,komali_kuncham,I'm cool with people dressing up as Eleven for Halloween. I definitely want to open my door and give them candy.TEJRAN SLAYING TOGETHER,I m cool with people dressing up as Eleven for Halloween I definitely want to open my door and give them candy TEJRAN SLAYING TOGETHER
19,litoltaee,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
20,RealBrownViking,@Candy_woof Smol cute friendly sleepy,woof Smol cute friendly sleepy
21,my_thv,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
22,candy_koa1a,SHE IS SO PRETTY https://t.co/yZ2Ckag8es,SHE IS SO PRETTY
23,fluxfm_berlin,"""08.12. 11:03 Uhr: Marcy Playground """"Sex &amp; Candy""""""",08 12 11 03 Uhr Marcy Playground Sex amp Candy
