,tweet,tweetP,Category
0,"As Cambodia is reeling from the COVID-19 pandemic with reopen the country for fully vaccinated travelers, optimism is running high that the tourism sector will recover.https://t.co/xvEtpLdfhJ",as cambodia reeling covid 19 pandemic reopen country fully vaccinated travelers optimism running high tourism sector recover,positive
1,@BBCNews Don't blame Covid. Blame the local authority and multi agencies working with this poor child and talk about the failure when it came to DUTY OF CARE,don blame covid blame local authority multi agencies working poor child talk failure came duty care,negative
2,"M y oldest daughter wants to visit for Christmas, and bring her anti-vax boyfriend. She's had J&amp;J, but no booster. They both had COVID within the last couple of months. I've said no to the visit. Am I wrong?",m oldest daughter wants visit christmas bring anti vax boyfriend j amp j booster covid within last couple months said visit wrong,negative
3,"@TheRealHoarse Friend caught COVID positive from a DMV worker (who I hope is home now), so she gave me her ticket to “My Fair Lady.” My mom was supposed to go 2 same show /c her friend. Instead, she died suddenly in October. It was one of her favorite musicals. Bittersweet night.",friend caught covid positive dmv worker hope home gave ticket fair lady mom supposed go 2 show c friend instead died suddenly october one favorite musicals bittersweet night,positive
4,i rly hate covid sm,i rly hate covid sm,negative
5,"Man Gets COVID Test, Can't Believe What Hospital Tells Him Next: 'I Felt Deceived' https://t.co/MczpIEuzbf",man gets covid test believe hospital tells next felt deceived,neutral
6,"They partied as my mother lay dying, alone over Christmas, of Covid. We obeyed the rules and didn’t visit in order to ensure we didn’t spread the virus to others. https://t.co/PCnAOXUDdI",they partied mother lay dying alone christmas covid obeyed rules visit order ensure spread virus others,neutral
7,YG Entertainment has confirmed that Lisa is now free of COVID-19 and has come out of self-isolation! 🙏 @BLACKPINK https://t.co/rgMdgQrFZr,yg entertainment confirmed lisa free covid 19 come self isolation,positive
8,@itsgrayfox i was using covid as an excuse before covid was a thing,i using covid excuse covid thing,negative
9,"""""""Fauci praised Australia's system and calls them a world leader on """"""""containment and management of emerging variants."""""""" https://t.co/rONYrQczsR""""""",fauci praised australia system calls world leader containment management emerging variants,neutral
10,"Perfectly healthy AFL player, all but zero risk from Covid, damages his heart with Pfizer vaxx. AFL mandates all players must be vaxxed. https://t.co/jwgQamUqZq",perfectly healthy afl player zero risk covid damages heart pfizer vaxx afl mandates players must vaxxed,positive
11,"See some people wondering what the point of vaccines was, as restrictions are back.Worth remembering that vaccines have dramatically cut Covid deaths. About 100,000 Covid cases reported in both January and November.January: 1,420 deathsNovember: 160 deaths",see people wondering point vaccines restrictions back worth remembering vaccines dramatically cut covid deaths 100 000 covid cases reported january november january 1 420 deathsnovember 160 deaths,positive
12,"""""""Joe Rogan has the hack to beat Covid and has people feeling better in hours 100% of the time and the media is big mad because he is proving that our medical """"""""experts"""""""" are fucking idiots.""""""",joe rogan hack beat covid people feeling better hours 100 time media big mad proving medical experts fucking idiots,negative
13,For a while London has had by far the lowest covid rates in England. Something has changed that trend…. https://t.co/MTRRQZhxoe,for london far lowest covid rates england something changed trend,positive
